,postag,s_id,w_id,word,0
278,JJ,29.0,6.0,gorgeous,1070
279,NNP,29.0,7.0,Antonio,234
280,NNP,29.0,8.0,Banderas,113
281,DT,30.0,0.0,Some,47817
282,NN,30.0,1.0,day,8083
283,PRP,30.0,2.0,I,258405
284,MD,30.0,3.0,would,37105
285,VB,30.0,4.0,love,19459
286,TO,30.0,5.0,to,407216
287,VB,30.0,6.0,ask,1788
288,NNP,30.0,7.0,Catherine,366
289,NNP,30.0,8.0,Zeta,73
290,NNP,30.0,9.0,Jones,1413
291,RP,30.0,10.0,out,51432
292,PRP,31.0,0.0,I,258405
293,MD,31.0,1.0,'ll,8729
294,VB,31.0,2.0,take,10584
295,NNP,31.0,3.0,Hugh,303
296,NNP,31.0,4.0,Jackman,75
297,CC,31.0,5.0,and,494087
298,VBP,31.0,6.0,leave,3294
299,DT,31.0,7.0,the,1014971
300,NN,31.0,8.0,rest,5162
301,TO,31.0,9.0,to,407216
302,NN,31.0,10.0,everyone,6723
303,RB,31.0,11.0,else,5948
304,DT,32.0,0.0,The,1014971
305,JJ,32.0,1.0,red,2402
306,JJ,32.0,2.0,haired,253
307,NN,32.0,3.0,actress,3535
308,VBZ,32.0,4.0,is,321694
309,VBN,32.0,5.0,called,4294
310,NNP,32.0,6.0,Lauren,190
311,NNP,32.0,7.0,Ambrose,0
312,NNP,33.0,0.0,Jennifer,799
313,NNP,33.0,1.0,Connelly,106
314,VBZ,33.0,2.0,is,321694
315,JJ,33.0,3.0,beautiful,6101
316,IN,33.0,4.0,in,282877
317,DT,33.0,5.0,that,218899
318,JJ,33.0,6.0,remarkable,828
319,NN,33.0,7.0,way,24085
320,PRP,34.0,0.0,I,258405
321,VBP,34.0,1.0,do,27458
322,IN,34.0,2.0,like,60973
323,NNP,34.0,3.0,Jennifer,799
324,NNP,34.0,4.0,Connelly,106
325,JJR,34.0,5.0,better,17522
326,IN,34.0,6.0,than,29723
327,NNP,34.0,7.0,Keira,62
328,NNP,34.0,8.0,Knightly,0
329,RB,35.0,0.0,Well,32015
330,IN,35.0,1.0,if,50475
331,PRP,35.0,2.0,I,258405
332,VBD,35.0,3.0,had,33083
333,TO,35.0,4.0,to,407216
334,VB,35.0,5.0,stick,1270
335,TO,35.0,6.0,to,407216
336,NNS,35.0,7.0,people,27877
337,PRP$,35.0,8.0,my,36415
338,NN,35.0,9.0,age,3228
339,PRP,35.0,10.0,I,258405
340,MD,35.0,11.0,'d,10109
341,VB,35.0,12.0,say,15684
342,NNP,35.0,13.0,Emma,416
343,NNP,35.0,14.0,Watson,313
344,CC,35.0,15.0,but,126937
345,NNP,35.0,16.0,Kate,754
346,NNP,35.0,17.0,Hudson,379
347,VBZ,35.0,18.0,is,321694
348,PRP$,35.0,19.0,my,36415
349,NN,35.0,20.0,pick,1388
350,NNP,36.0,0.0,Angelina,155
351,NNP,36.0,1.0,Jolie,189
352,VBZ,36.0,2.0,owns,201
353,PRP$,36.0,3.0,my,36415
354,NN,36.0,4.0,manhood,55
355,NNP,37.0,0.0,Jake,398
356,NNP,37.0,1.0,Gyllenhaal,58
357,VBZ,37.0,2.0,is,321694
358,RB,37.0,3.0,rather,8096
359,JJ,37.0,4.0,dreamy,116
360,PRP,38.0,0.0,I,258405
361,VBP,38.0,1.0,have,83569
362,RB,38.0,2.0,also,27505
363,VBD,38.0,3.0,had,33083
364,DT,38.0,4.0,a,491473
365,JJ,38.0,5.0,long,10500
366,NN,38.0,6.0,term,563
367,NN,38.0,7.0,love,19459
368,NN,38.0,8.0,affair,1014
369,IN,38.0,9.0,with,133897
370,NNP,38.0,10.0,Jareod,0
371,NNP,38.0,11.0,Leto,0
372,PRP,39.0,0.0,I,258405
373,VBD,39.0,1.0,bet,657
374,PRP,39.0,2.0,he,90071
375,VBZ,39.0,3.0,passes,351
376,RP,39.0,4.0,up,40653
377,NNP,39.0,5.0,Tobey,0
378,IN,39.0,6.0,in,282877
379,DT,39.0,7.0,the,1014971
380,NN,39.0,8.0,popularity,263
381,NN,39.0,9.0,department,594
382,DT,39.0,10.0,some,47817
383,NN,39.0,11.0,time,37835
384,RB,39.0,12.0,soon,3597
385,PRP,40.0,0.0,I,258405
386,VBP,40.0,1.0,'m,15216
387,JJ,40.0,2.0,attracted,350
388,TO,40.0,3.0,to,407216
389,DT,40.0,4.0,that,218899
390,NNP,40.0,5.0,Monica,148
391,NNP,40.0,6.0,Bellucci,0
392,NN,40.0,7.0,actress,3535
393,NNP,41.0,0.0,Naomi,73
394,NNP,41.0,1.0,Watts,64
395,VBZ,41.0,2.0,is,321694
396,DT,41.0,3.0,the,1014971
397,RBS,41.0,4.0,most,26485
398,JJ,41.0,5.0,beautiful,6101
399,CC,41.0,6.0,and,494087
400,JJ,41.0,7.0,talented,1717
401,NN,41.0,8.0,actress,3535
402,IN,41.0,9.0,in,282877
403,NN,41.0,10.0,hollywood,5753
404,PRP,42.0,0.0,I,258405
405,VBP,42.0,1.0,think,21294
406,NNP,42.0,2.0,Naomi,73
407,NNP,42.0,3.0,Watts,64
408,VBZ,42.0,4.0,is,321694
409,JJ,42.0,5.0,beautiful,6101
410,IN,42.0,6.0,until,5429
411,PRP,42.0,7.0,she,41775
412,VBZ,42.0,8.0,starts,3768
413,VBG,42.0,9.0,talking,2773
414,NNP,43.0,0.0,Tom,2373
415,NNP,43.0,1.0,Hardy,426
416,VBZ,43.0,2.0,has,50800
417,VBN,43.0,3.0,dropped,412
418,IN,43.0,4.0,out,51432
419,IN,43.0,5.0,of,439756
420,NNP,43.0,6.0,Suicide,904
421,NNP,43.0,7.0,Squad,239
422,JJ,43.0,8.0,due,2670
423,TO,43.0,9.0,to,407216
424,VBG,43.0,10.0,scheduling,0
425,NNP,44.0,0.0,Elba,0
426,MD,44.0,1.0,would,37105
427,VB,44.0,2.0,be,81558
428,DT,44.0,3.0,a,491473
429,JJ,44.0,4.0,fantastic,2241
430,NN,44.0,5.0,Bond,1156
431,CC,44.0,6.0,but,126937
432,PRP,44.0,7.0,I,258405
433,VBP,44.0,8.0,fear,1612
434,PRP,44.0,9.0,it,287854
435,VBZ,44.0,10.0,'s,197995
436,RB,44.0,11.0,too,23496
437,JJ,44.0,12.0,late,3459
438,IN,44.0,13.0,in,282877
439,DT,44.0,14.0,the,1014971
440,NN,44.0,15.0,game,4148
441,NNP,45.0,0.0,Jake,398
442,NNP,45.0,1.0,Gyllenhaal,58
443,VBZ,45.0,2.0,is,321694
444,VBN,45.0,3.0,rumored,0
445,TO,45.0,4.0,to,407216
446,VB,45.0,5.0,replace,261
447,DT,46.0,0.0,The,1014971
448,RBS,46.0,1.0,most,26485
449,JJ,46.0,2.0,obvious,3220
450,NN,46.0,3.0,choice,1639
451,IN,46.0,4.0,for,133639
452,PRP,46.0,5.0,me,31848
453,VBZ,46.0,6.0,is,321694
454,JJ,46.0,7.0,Sean,844
455,NNP,46.0,8.0,Penn,453
456,NNP,47.0,0.0,John,6857
457,NNP,47.0,1.0,Turturro,73
458,VBD,47.0,2.0,was,144148
459,DT,47.0,3.0,a,491473
460,JJ,47.0,4.0,great,27441
461,NN,47.0,5.0,choice,1639
462,NNP,48.0,0.0,Dustin,176
463,NNP,48.0,1.0,Hoffman,391
464,VBZ,48.0,2.0,is,321694
465,DT,48.0,3.0,another,13133
466,NN,48.0,4.0,actor,6992
467,PRP,48.0,5.0,I,258405
468,VBP,48.0,6.0,'m,15216
469,RB,48.0,7.0,always,9518
470,JJ,48.0,8.0,willing,944
471,TO,48.0,9.0,to,407216
472,VB,48.0,10.0,take,10584
473,DT,48.0,11.0,a,491473
474,NN,48.0,12.0,chance,3091
475,IN,48.0,13.0,on,101865
476,PRP,49.0,0.0,I,258405
477,VBD,49.0,1.0,did,18807
478,RB,49.0,2.0,n't,115
479,VB,49.0,3.0,care,4193
480,IN,49.0,4.0,for,133639
481,DT,49.0,5.0,the,1014971
482,JJ,49.0,6.0,subject,2050
483,NN,49.0,7.0,matter,3623
484,CC,49.0,8.0,and,494087
485,PRP,49.0,9.0,I,258405
486,VBP,49.0,10.0,do,27458
487,RB,49.0,11.0,n't,115
488,VB,49.0,12.0,like,60973
489,NNP,49.0,13.0,Tom,2373
490,NNP,49.0,14.0,Cruise,409
491,NNP,50.0,0.0,Lee,2336
492,NNP,50.0,1.0,Marvin,130
493,VBD,50.0,2.0,was,144148
494,DT,50.0,3.0,another,13133
495,NN,50.0,4.0,actor,6992
496,IN,50.0,5.0,with,133897
497,DT,50.0,6.0,that,218899
498,NN,50.0,7.0,quality,3842
499,IN,51.0,0.0,For,133639
500,PRP,51.0,1.0,me,31848
501,PRP,51.0,2.0,I,258405
502,MD,51.0,3.0,'d,10109
503,VB,51.0,4.0,pay,1896
504,TO,51.0,5.0,to,407216
505,VB,51.0,6.0,see,34646
506,NNP,51.0,7.0,Bette,523
507,NNP,51.0,8.0,Davis,1103
508,NNP,51.0,9.0,Katharine,71
509,NNP,51.0,10.0,Hepburn,211
510,NNP,51.0,11.0,Greer,56
511,NNP,51.0,12.0,Garson,94
512,CC,51.0,13.0,and,494087
513,NNP,51.0,14.0,Cary,486
514,NNP,51.0,15.0,Grant,1215
515,IN,51.0,16.0,in,282877
516,NN,51.0,17.0,anything,8615
517,NNP,52.0,0.0,Michael,3637
518,NNP,52.0,1.0,Caine,384
519,RB,52.0,2.0,however,10577
520,VBZ,52.0,3.0,has,50800
521,VBN,52.0,4.0,been,27899
522,IN,52.0,5.0,in,282877
523,DT,52.0,6.0,both,10492
524,DT,52.0,7.0,some,47817
525,IN,52.0,8.0,of,439756
526,DT,52.0,9.0,the,1014971
527,JJS,52.0,10.0,best,19061
528,CC,52.0,11.0,and,494087
529,DT,52.0,12.0,some,47817
530,IN,52.0,13.0,of,439756
531,DT,52.0,14.0,the,1014971
532,JJS,52.0,15.0,worst,7992
533,NNS,52.0,16.0,movies,23125
534,NNP,52.0,17.0,I’ve,0
535,RB,52.0,18.0,ever,17922
536,VBN,52.0,19.0,seen,19613
537,NNP,53.0,0.0,Tilda,76
538,NNP,53.0,1.0,Swinton,96
539,RB,53.0,2.0,actually,12781
540,VBD,53.0,3.0,made,24636
541,NNP,53.0,4.0,Constantine,0
542,IN,53.0,5.0,worth,7131
